owner,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Treshank,0yc37FvbXRwwFaQxzpxbs,Somebody To Love,OneRepublic,0.401,0.503,2.0,-8.084,1.0,0.0437,0.0158,0.0,0.134,0.23600000000000002,118.491,181408.0,4.0
Treshank,44pxxRrhiDGuHYP5HjadG,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,0.495,0.8109999999999999,1.0,-2.6489999999999996,0.0,0.0571,0.102,0.0,0.132,0.24100000000000002,139.925,229587.0,4.0
Treshank,0hGH0S74Eoyv6mXZcOKtd,On The Road (feat. Meek Mill & Lil Baby),Post Malone,0.442,0.737,7.0,-5.046,1.0,0.109,0.0589,0.0,0.102,0.21,112.93,218320.0,5.0
Treshank,6vBdBCoOhKHiYDDOcorfN,Goodbyes (Feat. Young Thug),Post Malone,0.58,0.653,5.0,-3.818,1.0,0.0745,0.447,0.0,0.111,0.175,150.231,174960.0,4.0
Treshank,4hDoWaIklSVAKLocU3IDB,I'm Gonna Be,Post Malone,0.746,0.5589999999999999,5.0,-4.008,1.0,0.0316,0.703,0.0,0.14800000000000002,0.368,117.943,200680.0,4.0
Treshank,6hLkeOMrhZ2CMLBp2of57,Wanted,OneRepublic,0.6679999999999999,0.534,1.0,-6.586,1.0,0.0677,0.16399999999999998,0.0,0.1,0.711,145.816,136248.0,4.0
Treshank,3707IBa4HnS3zDDoWfeUB,I Warned Myself,Charlie Puth,0.488,0.311,10.0,-11.467,0.0,0.297,0.562,0.0005480000000000001,0.161,0.579,184.112,159783.0,4.0
Treshank,5cF0dROlMOK5uNZtivgu5,Attention,Charlie Puth,0.775,0.613,3.0,-4.586,0.0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,208787.0,4.0
Treshank,6Js9pKLTyVw7xZQ1MIjkV,Shenanigans (feat. Yung Bans),Jasiah,0.77,0.892,6.0,-4.724,1.0,0.22,0.13699999999999998,0.0,0.109,0.84,91.12299999999999,138243.0,4.0
Treshank,5sqJrTHwsbdrC3nzexXie,Can't Stop Me Now,The Score,0.532,0.504,2.0,-6.695,1.0,0.0396,7.64e-05,0.00774,0.115,0.0782,170.041,118374.0,4.0
Treshank,2FzgbCcszptrQpdJOr2So,Icy (feat. Gucci Mane),Logic,0.8270000000000001,0.522,7.0,-4.8660000000000005,1.0,0.0845,0.163,1.19e-06,0.109,0.47700000000000004,151.99,265267.0,4.0
Treshank,2c8sgbZoEanC3QyFNZxUc,Flexicution,Logic,0.782,0.713,0.0,-6.5760000000000005,0.0,0.0899,0.0619,0.00125,0.10800000000000001,0.68,159.839,218947.0,4.0
Treshank,3PYx9Wte3jwb48V0wArMO,Keanu Reeves,Logic,0.7120000000000001,0.8909999999999999,2.0,-6.457000000000001,1.0,0.24,0.0557,0.0,0.134,0.799,170.13,225920.0,4.0
Treshank,6hypt8VPJxeMXTTcRUHS8,Glory,The Score,0.564,0.613,11.0,-5.055,1.0,0.0318,0.111,3.22e-06,0.0825,0.48,84.95100000000001,166693.0,4.0
Treshank,6kls8cSlUyHW2BUOkDJIZ,Hate Me (with Juice WRLD),Ellie Goulding,0.657,0.768,8.0,-4.628,1.0,0.0507,0.10800000000000001,0.0,0.14400000000000002,0.759,75.025,186223.0,4.0
Treshank,1DhRbox3xkceP64k3JeYf,Antisocial (with Travis Scott),Ed Sheeran,0.716,0.823,5.0,-5.313,0.0,0.0495,0.132,0.0,0.361,0.91,151.957,161747.0,4.0
Treshank,1pPWLAfELypeAmi0bMdEX,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,0.857,0.621,9.0,-6.376,0.0,0.0824,0.14800000000000002,0.0,0.0865,0.6679999999999999,97.986,204467.0,4.0
Treshank,1almCHdsfikRPfVB9VrEd,Little Do You Know,Alex & Sierra,0.5,0.292,0.0,-8.554,1.0,0.0323,0.746,0.0,0.188,0.37,145.879,185200.0,4.0
Treshank,0TK2YIli7K1leLovkQiNi,Señorita,Shawn Mendes,0.759,0.54,9.0,-6.039,0.0,0.0287,0.037000000000000005,0.0,0.0945,0.75,116.947,190960.0,4.0
Treshank,4evmHXcjt3bTUHD1cvny9,Beautiful People (feat. Khalid),Ed Sheeran,0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.5479999999999999,92.977,197867.0,4.0
Treshank,7quT6XsXglpUPAF5O1ZFk,Paris - Extended Version,We Go Down Together,0.561,0.6509999999999999,11.0,-8.434,0.0,0.0356,0.0983,0.0,0.541,0.321,100.001,203831.0,4.0
Treshank,2OALaHcDdKkjYEpAr0Qza,Lonely Together (feat. Rita Ora),Avicii,0.655,0.6659999999999999,5.0,-5.309,1.0,0.0612,0.134,2.12e-05,0.0683,0.272,102.977,181812.0,4.0
Treshank,4kflIGfjdZJW4ot2ioixT,Someone Like You,Adele,0.5589999999999999,0.33,9.0,-8.251,1.0,0.0285,0.892,0.0,0.0975,0.285,135.109,285040.0,4.0
Treshank,4kHHBrUi49P8KWjmpLXJq,Borderlands 2 - This Ain't No Place For No Hero ( Short Change Hero) - Main Theme,Geek Music,0.785,0.28300000000000003,11.0,-11.739,1.0,0.033,0.872,0.000102,0.17300000000000001,0.43799999999999994,105.96799999999999,236792.0,4.0
Treshank,4mU5iXHeLgbR94siF7p1s,Six Feet Under,The Weeknd,0.772,0.504,6.0,-8.219,0.0,0.0761,0.129,0.0,0.125,0.244,140.035,237573.0,4.0
Treshank,1oGdVdYjeQvojGKDddxLQ,True Colors,The Weeknd,0.624,0.424,1.0,-8.237,1.0,0.24,0.28600000000000003,0.0,0.17300000000000001,0.584,76.671,206013.0,4.0
Treshank,00NAQYOP4AmWR549nnYJZ,Secrets,The Weeknd,0.664,0.7709999999999999,0.0,-5.779,1.0,0.0533,0.0155,9.6e-06,0.46,0.763,109.945,265600.0,4.0
Treshank,36YCdzT57us0LhDmCYtrN,Rockin’,The Weeknd,0.738,0.885,9.0,-5.547000000000001,0.0,0.20600000000000002,0.0133,0.0,0.0821,0.752,112.87799999999999,232880.0,4.0
