id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
34oFblvtTvOwbBbFks85x,Seasons,Olly Murs,0.633,0.817,7.0,-4.495,0.0,0.0663,0.0754,0.0,0.256,0.584,91.968,217253.0,4.0
7ElF5zxOwYP4qVSWVvse3,Break Your Heart,Taio Cruz,0.607,0.934,3.0,-4.217,1.0,0.0314,0.0327,0.0,0.0909,0.568,122.01,201547.0,4.0
5prYtZySjRc5hidsYjeMm,Am I Wrong - Original,Nico,0.732,0.673,5.0,-9.39,0.0,0.0394,0.182,0.47,0.39,0.631,124.009,271621.0,4.0
0ug5NqcwcFR2xrfTkc7k8,Style,Taylor Swift,0.588,0.791,7.0,-5.595,1.0,0.0402,0.00245,0.00258,0.118,0.487,94.933,231000.0,4.0
2KH16WveTQWT6KOG9Rg6e,Eye of the Tiger,Survivor,0.817,0.599,0.0,-9.249,0.0,0.0328,0.132,0.000311,0.0873,0.548,108.873,245640.0,4.0
5x6gLNAiAnDWxcLzUr0IR,The Night Is Young,The Summer Set,0.596,0.892,0.0,-3.167,1.0,0.0329,0.026,0.0,0.1,0.381,111.011,225827.0,4.0
3B7udSGy2PfgoCniMSb52,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,0.581,0.0549,10.0,-20.514,0.0,0.0397,0.559,0.0,0.0718,0.234,152.037,300840.0,4.0
47NPaSCdEVqrO0GapAbK2,The A Team,Ed Sheeran,0.617,0.231,9.0,-12.814,1.0,0.041,0.64,0.0,0.112,0.398,84.911,261027.0,4.0
6XLww4MprrLCvWpVXD9K7,Photograph,Ed Sheeran,0.715,0.387,4.0,-10.53,1.0,0.0343,0.617,0.000854,0.1,0.183,108.04,256293.0,4.0
2jyjhRf6DVbMPU5zxagN2,Let Her Go,Passenger,0.509,0.538,7.0,-7.335,1.0,0.0572,0.385,0.0,0.104,0.244,75.089,252867.0,4.0
3oEHQmhvFLiE7ZYES0ulz,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,0.428,0.276,4.0,-11.729,1.0,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,280000.0,1.0
5d41vXH0zvpwUrHrmqKqD,Love,Imagine Dragons,0.697,0.507,8.0,-6.178,1.0,0.04,0.0535,1.19e-06,0.0469,0.382,82.483,166360.0,4.0
1uRBbjQ3uNFXCncWyNomH,Only,Imagine Dragons,0.691,0.803,9.0,-5.029,1.0,0.0355,0.015,0.0,0.0862,0.424,104.997,180733.0,4.0
1WQFOwtI6EfsvRz7wcDbQ,Gold,Imagine Dragons,0.416,0.459,9.0,-6.814,0.0,0.0317,0.0801,0.00653,0.0551,0.286,164.929,216813.0,3.0
